id,total_utterance_length
nikluge-2024-대화 맥락 추론-train-000162,378
nikluge-2024-대화 맥락 추론-train-000163,378
nikluge-2024-대화 맥락 추론-train-000164,378
nikluge-2024-대화 맥락 추론-train-000165,471
nikluge-2024-대화 맥락 추론-train-000166,471
nikluge-2024-대화 맥락 추론-train-000167,471
nikluge-2024-대화 맥락 추론-train-000168,471
nikluge-2024-대화 맥락 추론-train-000169,471
nikluge-2024-대화 맥락 추론-train-000170,259
nikluge-2024-대화 맥락 추론-train-000171,259
nikluge-2024-대화 맥락 추론-train-000172,259
nikluge-2024-대화 맥락 추론-train-000173,259
nikluge-2024-대화 맥락 추론-train-000174,259
nikluge-2024-대화 맥락 추론-train-000175,413
nikluge-2024-대화 맥락 추론-train-000176,413
nikluge-2024-대화 맥락 추론-train-000177,413
nikluge-2024-대화 맥락 추론-train-000178,413
nikluge-2024-대화 맥락 추론-train-000179,413
nikluge-2024-대화 맥락 추론-train-000180,353
nikluge-2024-대화 맥락 추론-train-000181,353
nikluge-2024-대화 맥락 추론-train-000182,353
nikluge-2024-대화 맥락 추론-train-000183,353
nikluge-2024-대화 맥락 추론-train-000184,353
nikluge-2024-대화 맥락 추론-train-000185,309
nikluge-2024-대화 맥락 추론-train-000186,309
nikluge-2024-대화 맥락 추론-train-000187,309
nikluge-2024-대화 맥락 추론-train-000188,309
nikluge-2024-대화 맥락 추론-train-000189,309
nikluge-2024-대화 맥락 추론-train-000190,323
nikluge-2024-대화 맥락 추론-train-000191,323
nikluge-2024-대화 맥락 추론-train-000192,323
nikluge-2024-대화 맥락 추론-train-000193,323
nikluge-2024-대화 맥락 추론-train-000194,323
nikluge-2024-대화 맥락 추론-train-000195,228
nikluge-2024-대화 맥락 추론-train-000196,228
nikluge-2024-대화 맥락 추론-train-000197,228
nikluge-2024-대화 맥락 추론-train-000198,228
nikluge-2024-대화 맥락 추론-train-000199,228
nikluge-2024-대화 맥락 추론-train-000200,381
nikluge-2024-대화 맥락 추론-train-000201,381
nikluge-2024-대화 맥락 추론-train-000202,381
nikluge-2024-대화 맥락 추론-train-000203,381
nikluge-2024-대화 맥락 추론-train-000204,381
nikluge-2024-대화 맥락 추론-train-000205,437
nikluge-2024-대화 맥락 추론-train-000206,437
nikluge-2024-대화 맥락 추론-train-000207,437
nikluge-2024-대화 맥락 추론-train-000208,437
nikluge-2024-대화 맥락 추론-train-000209,437
nikluge-2024-대화 맥락 추론-train-000210,293
nikluge-2024-대화 맥락 추론-train-000211,293
nikluge-2024-대화 맥락 추론-train-000212,293
nikluge-2024-대화 맥락 추론-train-000213,293
nikluge-2024-대화 맥락 추론-train-000214,293
nikluge-2024-대화 맥락 추론-train-000215,137
nikluge-2024-대화 맥락 추론-train-000216,137
nikluge-2024-대화 맥락 추론-train-000217,137
nikluge-2024-대화 맥락 추론-train-000218,137
nikluge-2024-대화 맥락 추론-train-000219,137
nikluge-2024-대화 맥락 추론-train-000220,243
nikluge-2024-대화 맥락 추론-train-000221,243
nikluge-2024-대화 맥락 추론-train-000222,243
nikluge-2024-대화 맥락 추론-train-000223,243
nikluge-2024-대화 맥락 추론-train-000224,243
nikluge-2024-대화 맥락 추론-train-000225,350
nikluge-2024-대화 맥락 추론-train-000226,350
nikluge-2024-대화 맥락 추론-train-000227,350
nikluge-2024-대화 맥락 추론-train-000228,350
nikluge-2024-대화 맥락 추론-train-000229,350
nikluge-2024-대화 맥락 추론-train-000230,536
nikluge-2024-대화 맥락 추론-train-000231,536
nikluge-2024-대화 맥락 추론-train-000232,536
nikluge-2024-대화 맥락 추론-train-000233,536
nikluge-2024-대화 맥락 추론-train-000234,536
nikluge-2024-대화 맥락 추론-train-000235,450
nikluge-2024-대화 맥락 추론-train-000236,450
nikluge-2024-대화 맥락 추론-train-000237,450
nikluge-2024-대화 맥락 추론-train-000238,450
nikluge-2024-대화 맥락 추론-train-000239,450
nikluge-2024-대화 맥락 추론-train-000240,556
nikluge-2024-대화 맥락 추론-train-000241,556
nikluge-2024-대화 맥락 추론-train-000242,556
nikluge-2024-대화 맥락 추론-train-000243,556
nikluge-2024-대화 맥락 추론-train-000244,556
nikluge-2024-대화 맥락 추론-train-000245,209
nikluge-2024-대화 맥락 추론-train-000246,209
nikluge-2024-대화 맥락 추론-train-000247,209
nikluge-2024-대화 맥락 추론-train-000248,209
nikluge-2024-대화 맥락 추론-train-000249,209
nikluge-2024-대화 맥락 추론-train-000250,438
nikluge-2024-대화 맥락 추론-train-000251,438
nikluge-2024-대화 맥락 추론-train-000252,438
nikluge-2024-대화 맥락 추론-train-000253,438
nikluge-2024-대화 맥락 추론-train-000254,438
nikluge-2024-대화 맥락 추론-train-000255,602
nikluge-2024-대화 맥락 추론-train-000256,602
nikluge-2024-대화 맥락 추론-train-000257,602
nikluge-2024-대화 맥락 추론-train-000258,602
nikluge-2024-대화 맥락 추론-train-000259,602
nikluge-2024-대화 맥락 추론-train-000260,407
nikluge-2024-대화 맥락 추론-train-000261,407
nikluge-2024-대화 맥락 추론-train-000262,407
nikluge-2024-대화 맥락 추론-train-000263,407
nikluge-2024-대화 맥락 추론-train-000264,407
nikluge-2024-대화 맥락 추론-train-000265,487
nikluge-2024-대화 맥락 추론-train-000266,487
nikluge-2024-대화 맥락 추론-train-000267,487
nikluge-2024-대화 맥락 추론-train-000268,487
nikluge-2024-대화 맥락 추론-train-000269,487
nikluge-2024-대화 맥락 추론-train-000270,358
nikluge-2024-대화 맥락 추론-train-000271,358
nikluge-2024-대화 맥락 추론-train-000272,358
nikluge-2024-대화 맥락 추론-train-000273,358
nikluge-2024-대화 맥락 추론-train-000274,273
nikluge-2024-대화 맥락 추론-train-000275,273
nikluge-2024-대화 맥락 추론-train-000276,273
nikluge-2024-대화 맥락 추론-train-000277,273
nikluge-2024-대화 맥락 추론-train-000278,304
nikluge-2024-대화 맥락 추론-train-000279,304
nikluge-2024-대화 맥락 추론-train-000280,304
nikluge-2024-대화 맥락 추론-train-000281,304
nikluge-2024-대화 맥락 추론-train-000282,289
nikluge-2024-대화 맥락 추론-train-000283,289
nikluge-2024-대화 맥락 추론-train-000284,289
nikluge-2024-대화 맥락 추론-train-000285,289
nikluge-2024-대화 맥락 추론-train-000286,428
nikluge-2024-대화 맥락 추론-train-000287,428
nikluge-2024-대화 맥락 추론-train-000288,428
nikluge-2024-대화 맥락 추론-train-000289,428
nikluge-2024-대화 맥락 추론-train-000290,312
nikluge-2024-대화 맥락 추론-train-000291,312
nikluge-2024-대화 맥락 추론-train-000292,312
nikluge-2024-대화 맥락 추론-train-000293,312
nikluge-2024-대화 맥락 추론-train-000294,189
nikluge-2024-대화 맥락 추론-train-000295,189
nikluge-2024-대화 맥락 추론-train-000296,189
nikluge-2024-대화 맥락 추론-train-000297,189
nikluge-2024-대화 맥락 추론-train-000298,454
nikluge-2024-대화 맥락 추론-train-000299,454
nikluge-2024-대화 맥락 추론-train-000300,454
nikluge-2024-대화 맥락 추론-train-000301,454
nikluge-2024-대화 맥락 추론-train-000302,873
nikluge-2024-대화 맥락 추론-train-000303,873
nikluge-2024-대화 맥락 추론-train-000304,873
nikluge-2024-대화 맥락 추론-train-000305,873
nikluge-2024-대화 맥락 추론-train-000306,433
nikluge-2024-대화 맥락 추론-train-000307,433
nikluge-2024-대화 맥락 추론-train-000308,433
nikluge-2024-대화 맥락 추론-train-000309,433
nikluge-2024-대화 맥락 추론-train-000310,179
nikluge-2024-대화 맥락 추론-train-000311,179
nikluge-2024-대화 맥락 추론-train-000312,179
nikluge-2024-대화 맥락 추론-train-000313,179
nikluge-2024-대화 맥락 추론-train-000314,395
nikluge-2024-대화 맥락 추론-train-000315,395
nikluge-2024-대화 맥락 추론-train-000316,395
nikluge-2024-대화 맥락 추론-train-000317,395
nikluge-2024-대화 맥락 추론-train-000318,386
nikluge-2024-대화 맥락 추론-train-000319,386
nikluge-2024-대화 맥락 추론-train-000320,386
nikluge-2024-대화 맥락 추론-train-000321,386
nikluge-2024-대화 맥락 추론-train-000322,406
nikluge-2024-대화 맥락 추론-train-000323,406
nikluge-2024-대화 맥락 추론-train-000324,406
nikluge-2024-대화 맥락 추론-train-000325,406
nikluge-2024-대화 맥락 추론-train-000326,260
nikluge-2024-대화 맥락 추론-train-000327,260
nikluge-2024-대화 맥락 추론-train-000328,260
nikluge-2024-대화 맥락 추론-train-000329,260
nikluge-2024-대화 맥락 추론-train-000330,201
nikluge-2024-대화 맥락 추론-train-000331,201
nikluge-2024-대화 맥락 추론-train-000332,201
nikluge-2024-대화 맥락 추론-train-000333,201
nikluge-2024-대화 맥락 추론-train-000334,459
nikluge-2024-대화 맥락 추론-train-000335,459
nikluge-2024-대화 맥락 추론-train-000336,459
nikluge-2024-대화 맥락 추론-train-000337,459
nikluge-2024-대화 맥락 추론-train-000338,363
nikluge-2024-대화 맥락 추론-train-000339,363
nikluge-2024-대화 맥락 추론-train-000340,363
nikluge-2024-대화 맥락 추론-train-000341,363
nikluge-2024-대화 맥락 추론-train-000342,350
nikluge-2024-대화 맥락 추론-train-000343,350
nikluge-2024-대화 맥락 추론-train-000344,350
nikluge-2024-대화 맥락 추론-train-000345,350
nikluge-2024-대화 맥락 추론-train-000346,523
nikluge-2024-대화 맥락 추론-train-000347,523
nikluge-2024-대화 맥락 추론-train-000348,523
nikluge-2024-대화 맥락 추론-train-000349,523
nikluge-2024-대화 맥락 추론-train-000350,354
nikluge-2024-대화 맥락 추론-train-000351,354
nikluge-2024-대화 맥락 추론-train-000352,354
nikluge-2024-대화 맥락 추론-train-000353,354
nikluge-2024-대화 맥락 추론-train-000354,138
nikluge-2024-대화 맥락 추론-train-000355,138
nikluge-2024-대화 맥락 추론-train-000356,138
nikluge-2024-대화 맥락 추론-train-000357,138
nikluge-2024-대화 맥락 추론-train-000358,321
nikluge-2024-대화 맥락 추론-train-000359,321
nikluge-2024-대화 맥락 추론-train-000360,321
nikluge-2024-대화 맥락 추론-train-000361,321
nikluge-2024-대화 맥락 추론-train-000362,383
nikluge-2024-대화 맥락 추론-train-000363,383
nikluge-2024-대화 맥락 추론-train-000364,383
nikluge-2024-대화 맥락 추론-train-000365,383
nikluge-2024-대화 맥락 추론-train-000366,279
nikluge-2024-대화 맥락 추론-train-000367,279
nikluge-2024-대화 맥락 추론-train-000368,279
nikluge-2024-대화 맥락 추론-train-000369,279
nikluge-2024-대화 맥락 추론-train-000370,485
nikluge-2024-대화 맥락 추론-train-000371,485
nikluge-2024-대화 맥락 추론-train-000372,485
nikluge-2024-대화 맥락 추론-train-000373,485
nikluge-2024-대화 맥락 추론-train-000374,468
nikluge-2024-대화 맥락 추론-train-000375,468
nikluge-2024-대화 맥락 추론-train-000376,468
nikluge-2024-대화 맥락 추론-train-000377,468
nikluge-2024-대화 맥락 추론-train-000378,282
nikluge-2024-대화 맥락 추론-train-000379,282
nikluge-2024-대화 맥락 추론-train-000380,282
nikluge-2024-대화 맥락 추론-train-000381,282
nikluge-2024-대화 맥락 추론-train-000382,343
nikluge-2024-대화 맥락 추론-train-000383,343
nikluge-2024-대화 맥락 추론-train-000384,343
nikluge-2024-대화 맥락 추론-train-000385,343
nikluge-2024-대화 맥락 추론-train-000386,512
nikluge-2024-대화 맥락 추론-train-000387,512
nikluge-2024-대화 맥락 추론-train-000388,512
nikluge-2024-대화 맥락 추론-train-000389,512
nikluge-2024-대화 맥락 추론-train-000390,235
nikluge-2024-대화 맥락 추론-train-000391,235
nikluge-2024-대화 맥락 추론-train-000392,235
nikluge-2024-대화 맥락 추론-train-000393,235
nikluge-2024-대화 맥락 추론-train-000394,507
nikluge-2024-대화 맥락 추론-train-000395,507
nikluge-2024-대화 맥락 추론-train-000396,507
nikluge-2024-대화 맥락 추론-train-000397,507
nikluge-2024-대화 맥락 추론-train-000398,203
nikluge-2024-대화 맥락 추론-train-000399,203
nikluge-2024-대화 맥락 추론-train-000400,203
nikluge-2024-대화 맥락 추론-train-000401,203
nikluge-2024-대화 맥락 추론-train-000402,171
nikluge-2024-대화 맥락 추론-train-000403,171
nikluge-2024-대화 맥락 추론-train-000404,171
nikluge-2024-대화 맥락 추론-train-000405,171
nikluge-2024-대화 맥락 추론-train-000406,389
nikluge-2024-대화 맥락 추론-train-000407,389
nikluge-2024-대화 맥락 추론-train-000408,389
nikluge-2024-대화 맥락 추론-train-000409,389
nikluge-2024-대화 맥락 추론-train-000410,453
nikluge-2024-대화 맥락 추론-train-000411,453
nikluge-2024-대화 맥락 추론-train-000412,453
nikluge-2024-대화 맥락 추론-train-000413,453
nikluge-2024-대화 맥락 추론-train-000414,600
nikluge-2024-대화 맥락 추론-train-000415,600
nikluge-2024-대화 맥락 추론-train-000416,600
nikluge-2024-대화 맥락 추론-train-000417,600
nikluge-2024-대화 맥락 추론-train-000418,600
nikluge-2024-대화 맥락 추론-train-000419,368
nikluge-2024-대화 맥락 추론-train-000420,368
nikluge-2024-대화 맥락 추론-train-000421,368
nikluge-2024-대화 맥락 추론-train-000422,368
nikluge-2024-대화 맥락 추론-train-000423,368
nikluge-2024-대화 맥락 추론-train-000424,493
nikluge-2024-대화 맥락 추론-train-000425,493
nikluge-2024-대화 맥락 추론-train-000426,493
nikluge-2024-대화 맥락 추론-train-000427,493
nikluge-2024-대화 맥락 추론-train-000428,493
nikluge-2024-대화 맥락 추론-train-000429,770
nikluge-2024-대화 맥락 추론-train-000430,770
nikluge-2024-대화 맥락 추론-train-000431,770
nikluge-2024-대화 맥락 추론-train-000432,770
nikluge-2024-대화 맥락 추론-train-000433,770
nikluge-2024-대화 맥락 추론-train-000434,573
nikluge-2024-대화 맥락 추론-train-000435,573
nikluge-2024-대화 맥락 추론-train-000436,573
nikluge-2024-대화 맥락 추론-train-000437,573
nikluge-2024-대화 맥락 추론-train-000438,573
nikluge-2024-대화 맥락 추론-train-000439,163
nikluge-2024-대화 맥락 추론-train-000440,163
nikluge-2024-대화 맥락 추론-train-000441,163
nikluge-2024-대화 맥락 추론-train-000442,163
nikluge-2024-대화 맥락 추론-train-000443,163
nikluge-2024-대화 맥락 추론-train-000444,521
nikluge-2024-대화 맥락 추론-train-000445,521
nikluge-2024-대화 맥락 추론-train-000446,521
nikluge-2024-대화 맥락 추론-train-000447,521
nikluge-2024-대화 맥락 추론-train-000448,521
nikluge-2024-대화 맥락 추론-train-000449,179
nikluge-2024-대화 맥락 추론-train-000450,179
nikluge-2024-대화 맥락 추론-train-000451,179
nikluge-2024-대화 맥락 추론-train-000452,179
nikluge-2024-대화 맥락 추론-train-000453,179
nikluge-2024-대화 맥락 추론-train-000454,730
nikluge-2024-대화 맥락 추론-train-000455,730
nikluge-2024-대화 맥락 추론-train-000456,730
nikluge-2024-대화 맥락 추론-train-000457,730
nikluge-2024-대화 맥락 추론-train-000458,730
nikluge-2024-대화 맥락 추론-train-000459,553
nikluge-2024-대화 맥락 추론-train-000460,553
nikluge-2024-대화 맥락 추론-train-000461,553
nikluge-2024-대화 맥락 추론-train-000462,553
nikluge-2024-대화 맥락 추론-train-000463,553
nikluge-2024-대화 맥락 추론-train-000464,365
nikluge-2024-대화 맥락 추론-train-000465,365
nikluge-2024-대화 맥락 추론-train-000466,365
nikluge-2024-대화 맥락 추론-train-000467,365
nikluge-2024-대화 맥락 추론-train-000468,365
nikluge-2024-대화 맥락 추론-train-000469,474
nikluge-2024-대화 맥락 추론-train-000470,474
nikluge-2024-대화 맥락 추론-train-000471,474
nikluge-2024-대화 맥락 추론-train-000472,474
nikluge-2024-대화 맥락 추론-train-000473,474
nikluge-2024-대화 맥락 추론-train-000474,316
nikluge-2024-대화 맥락 추론-train-000475,316
nikluge-2024-대화 맥락 추론-train-000476,316
nikluge-2024-대화 맥락 추론-train-000477,376
nikluge-2024-대화 맥락 추론-train-000478,376
nikluge-2024-대화 맥락 추론-train-000479,376
nikluge-2024-대화 맥락 추론-train-000480,524
nikluge-2024-대화 맥락 추론-train-000481,524
nikluge-2024-대화 맥락 추론-train-000482,524
nikluge-2024-대화 맥락 추론-train-000483,445
nikluge-2024-대화 맥락 추론-train-000484,445
nikluge-2024-대화 맥락 추론-train-000485,445
nikluge-2024-대화 맥락 추론-train-000486,351
nikluge-2024-대화 맥락 추론-train-000487,351
nikluge-2024-대화 맥락 추론-train-000488,351
nikluge-2024-대화 맥락 추론-train-000489,520
nikluge-2024-대화 맥락 추론-train-000490,520
nikluge-2024-대화 맥락 추론-train-000491,520
nikluge-2024-대화 맥락 추론-train-000492,144
nikluge-2024-대화 맥락 추론-train-000493,144
nikluge-2024-대화 맥락 추론-train-000494,144
nikluge-2024-대화 맥락 추론-train-000495,497
nikluge-2024-대화 맥락 추론-train-000496,497
nikluge-2024-대화 맥락 추론-train-000497,497
nikluge-2024-대화 맥락 추론-train-000498,497
nikluge-2024-대화 맥락 추론-train-000499,497
nikluge-2024-대화 맥락 추론-train-000500,223
nikluge-2024-대화 맥락 추론-train-000501,223
nikluge-2024-대화 맥락 추론-train-000502,223
nikluge-2024-대화 맥락 추론-train-000503,223
nikluge-2024-대화 맥락 추론-train-000504,223
nikluge-2024-대화 맥락 추론-train-000505,300
nikluge-2024-대화 맥락 추론-train-000506,300
nikluge-2024-대화 맥락 추론-train-000507,300
nikluge-2024-대화 맥락 추론-train-000508,300
nikluge-2024-대화 맥락 추론-train-000509,300
nikluge-2024-대화 맥락 추론-train-000510,711
nikluge-2024-대화 맥락 추론-train-000511,711
nikluge-2024-대화 맥락 추론-train-000512,711
nikluge-2024-대화 맥락 추론-train-000513,711
nikluge-2024-대화 맥락 추론-train-000514,711
nikluge-2024-대화 맥락 추론-train-000515,359
nikluge-2024-대화 맥락 추론-train-000516,359
nikluge-2024-대화 맥락 추론-train-000517,359
nikluge-2024-대화 맥락 추론-train-000518,359
nikluge-2024-대화 맥락 추론-train-000519,359
nikluge-2024-대화 맥락 추론-train-000520,304
nikluge-2024-대화 맥락 추론-train-000521,304
nikluge-2024-대화 맥락 추론-train-000522,304
nikluge-2024-대화 맥락 추론-train-000523,304
nikluge-2024-대화 맥락 추론-train-000524,304
nikluge-2024-대화 맥락 추론-train-000525,418
nikluge-2024-대화 맥락 추론-train-000526,418
nikluge-2024-대화 맥락 추론-train-000527,418
nikluge-2024-대화 맥락 추론-train-000528,418
nikluge-2024-대화 맥락 추론-train-000529,418
nikluge-2024-대화 맥락 추론-train-000530,290
nikluge-2024-대화 맥락 추론-train-000531,290
nikluge-2024-대화 맥락 추론-train-000532,290
nikluge-2024-대화 맥락 추론-train-000533,290
nikluge-2024-대화 맥락 추론-train-000534,290
nikluge-2024-대화 맥락 추론-train-000535,380
nikluge-2024-대화 맥락 추론-train-000536,380
nikluge-2024-대화 맥락 추론-train-000537,380
nikluge-2024-대화 맥락 추론-train-000538,380
nikluge-2024-대화 맥락 추론-train-000539,380
nikluge-2024-대화 맥락 추론-train-000540,410
nikluge-2024-대화 맥락 추론-train-000541,410
nikluge-2024-대화 맥락 추론-train-000542,410
nikluge-2024-대화 맥락 추론-train-000543,410
nikluge-2024-대화 맥락 추론-train-000544,410
nikluge-2024-대화 맥락 추론-train-000545,363
nikluge-2024-대화 맥락 추론-train-000546,363
nikluge-2024-대화 맥락 추론-train-000547,363
nikluge-2024-대화 맥락 추론-train-000548,363
nikluge-2024-대화 맥락 추론-train-000549,363
nikluge-2024-대화 맥락 추론-train-000550,528
nikluge-2024-대화 맥락 추론-train-000551,528
nikluge-2024-대화 맥락 추론-train-000552,528
nikluge-2024-대화 맥락 추론-train-000553,528
nikluge-2024-대화 맥락 추론-train-000554,528
nikluge-2024-대화 맥락 추론-train-000555,413
nikluge-2024-대화 맥락 추론-train-000556,413
nikluge-2024-대화 맥락 추론-train-000557,413
nikluge-2024-대화 맥락 추론-train-000558,413
nikluge-2024-대화 맥락 추론-train-000559,413
